date,ncase,ndeath,gender,area,country,type,death
12/04/2020,430,14,unknown,unknown,ireland,confirmed,covid
12/04/2020,297,0,unknown,unknown,ireland, german_lab,covid
13/04/2020,76,6,unknown,north,ireland,confirmed,covid
13/04/2020,527,31,unknown,unknown,ireland,confirmed,covid
13/04/2020,465,0,unknown,unknown,ireland, german_lab,covid
14/04/2020,85,10,unknown,north,ireland,confirmed,covid
14/04/2020,548,41,unknown,unknown,ireland,confirmed,covid
14/04/2020,284,0,unknown,unknown,ireland, german_lab,covid
15/04/2020,121,6,unknown,north,ireland,confirmed,covid
15/04/2020,657,38,unknown,unknown,ireland,confirmed,covid
15/04/2020,411,0,unknown,unknown,ireland, german_lab,covid
16/04/2020,113,18,unknown,north,ireland,confirmed,covid
16/04/2020,629,43,unknown,unknown,ireland,confirmed,covid
16/04/2020,0,-1,unknown,unknown,ireland, denotified, denotified
16/04/2020,95,0,unknown,unknown,ireland, german_lab,covid
17/04/2020,137,18,unknown,north,ireland,confirmed,covid
17/04/2020,597,44,unknown,unknown,ireland,confirmed,covid
17/04/2020,112,0,unknown,unknown,ireland, german_lab,covid
18/04/2020,148,17,unknown,north,ireland,confirmed,covid
18/04/2020,630,41,unknown,unknown,ireland,confirmed,covid
18/04/2020,148,0,unknown,unknown,ireland, german_lab,covid
19/04/2020,159,1,unknown,north,ireland,confirmed,covid
19/04/2020,445,39,unknown,unknown,ireland,confirmed,covid
19/04/2020,48,0,unknown,unknown,ireland, german_lab,covid
20/04/2020,88,13,unknown,north,ireland,confirmed,covid
20/04/2020,401,77,unknown,unknown,ireland,confirmed,covid
21/04/2020,0,-1,unknown,unknown,ireland, denotified, denotified
21/04/2020,30,9,unknown,north,ireland,confirmed,covid
21/04/2020,388,44,unknown,unknown,ireland,confirmed,covid
22/04/2020,0,-10,unknown,unknown,ireland, denotified, denotified
22/04/2020,116,34,unknown,north,ireland,confirmed,covid
22/04/2020,631,49,unknown,unknown,ireland,confirmed,covid
23/04/2020,142,13,unknown,north,ireland,confirmed,covid
23/04/2020,936,28,unknown,unknown,ireland,confirmed,covid
23/04/2020,0,-3,unknown,unknown,ireland, denotified, denotified
24/04/2020,106,15,unknown,north,ireland,confirmed,covid
24/04/2020,577,37,unknown,unknown,ireland,confirmed,covid
24/04/2020,0,-2,unknown,unknown,ireland, denotified, denotified
24/04/2020,0,185,unknown,unknown,ireland,confirmed, probable_covid
25/04/2020,104,16,unknown,north,ireland,confirmed,covid
25/04/2020,377,42,unknown,unknown,ireland,confirmed,covid
25/04/2020,0,-3,unknown,unknown,ireland, denotified, denotified
25/04/2020,0,10,unknown,unknown,ireland,confirmed, probable_covid
26/04/2020,82,5,unknown,north,ireland,confirmed,covid
26/04/2020,701,23,unknown,unknown,ireland,confirmed,covid
26/04/2020,0,-2,unknown,unknown,ireland, denotified, denotified
26/04/2020,0,3,unknown,unknown,ireland,confirmed, probable_covid
27/04/2020,66,10,unknown,north,ireland,confirmed,covid
27/04/2020,386,17,unknown,unknown,ireland,confirmed,covid
27/04/2020,0,-3,unknown,unknown,ireland, denotified, denotified
27/04/2020,0,1,unknown,unknown,ireland,confirmed, probable_covid
28/04/2020,34,20,unknown,north,ireland,confirmed,covid
28/04/2020,229,45,unknown,unknown,ireland,confirmed,covid
28/04/2020,0,-2,unknown,unknown,ireland, denotified, denotified
28/04/2020,0,14,unknown,unknown,ireland,confirmed, probable_covid
29/04/2020,55,9,unknown,north,ireland,confirmed,covid
29/04/2020,376,31,unknown,unknown,ireland,confirmed,covid
30/04/2020,73,9,unknown,north,ireland,confirmed,covid
