date,county,ncase
22/04/2020,Kildare,954
22/04/2020,Kilkenny,227
22/04/2020,Longford,102
22/04/2020,Louth,536
22/04/2020,Mayo,391
22/04/2020,Meath,568
22/04/2020,Offaly,217
22/04/2020,Roscommon,111
22/04/2020,Sligo,105
22/04/2020,Tipperary,343
22/04/2020,Wexford,143
22/04/2020,Kerry,271
22/04/2020,Waterford,122
22/04/2020,Westmeath,409
22/04/2020,Wicklow,506
22/04/2020,Galway,331
22/04/2020,Limerick,439
22/04/2020,Cork,1096
22/04/2020,Dublin,8729
23/04/2020,Laois,204
23/04/2020,Leitrim,62
23/04/2020,Monaghan,327
23/04/2020,Carlow,88
23/04/2020,Cavan,536
23/04/2020,Clare,207
23/04/2020,Donegal,437
23/04/2020,Kildare,1003
23/04/2020,Kilkenny,229
23/04/2020,Longford,113
23/04/2020,Louth,590
23/04/2020,Mayo,395
23/04/2020,Meath,578
23/04/2020,Offaly,222
23/04/2020,Roscommon,114
23/04/2020,Sligo,104
23/04/2020,Tipperary,345
23/04/2020,Wexford,151
23/04/2020,Kerry,276
23/04/2020,Waterford,129
23/04/2020,Westmeath,421
23/04/2020,Wicklow,558
23/04/2020,Galway,332
23/04/2020,Limerick,441
23/04/2020,Cork,1103
23/04/2020,Dublin,9010
24/04/2020,Laois,205
24/04/2020,Leitrim,64
24/04/2020,Monaghan,350
24/04/2020,Carlow,91
24/04/2020,Cavan,574
24/04/2020,Clare,209
24/04/2020,Donegal,446
24/04/2020,Kildare,1028
24/04/2020,Kilkenny,230
24/04/2020,Longford,124
24/04/2020,Louth,597
24/04/2020,Mayo,435
24/04/2020,Meath,613
24/04/2020,Offaly,225
24/04/2020,Roscommon,116
24/04/2020,Sligo,104
24/04/2020,Tipperary,346
24/04/2020,Wexford,156
24/04/2020,Kerry,277
24/04/2020,Waterford,135
24/04/2020,Westmeath,437
24/04/2020,Wicklow,568
24/04/2020,Galway,332
24/04/2020,Limerick,442
24/04/2020,Cork,1110
24/04/2020,Dublin,9224
25/04/2020,Laois,205
25/04/2020,Leitrim,66
25/04/2020,Monaghan,373
25/04/2020,Carlow,92
25/04/2020,Cavan,609
25/04/2020,Clare,212
25/04/2020,Donegal,452
25/04/2020,Kildare,1127
25/04/2020,Kilkenny,233
25/04/2020,Longford,129
25/04/2020,Louth,627
25/04/2020,Mayo,464
25/04/2020,Meath,626
25/04/2020,Offaly,228
25/04/2020,Roscommon,135
25/04/2020,Sligo,114
25/04/2020,Tipperary,364
25/04/2020,Wexford,162
25/04/2020,Kerry,288
25/04/2020,Waterford,137
25/04/2020,Westmeath,446
25/04/2020,Wicklow,557
25/04/2020,Galway,335
25/04/2020,Limerick,457
25/04/2020,Cork,1125
25/04/2020,Dublin,9532
26/04/2020,Laois,212
26/04/2020,Leitrim,67
26/04/2020,Monaghan,385
26/04/2020,Carlow,93
26/04/2020,Cavan,627
26/04/2020,Clare,229
26/04/2020,Donegal,453
26/04/2020,Kildare,1147
26/04/2020,Kilkenny,233
26/04/2020,Longford,135
26/04/2020,Louth,640
26/04/2020,Mayo,466
26/04/2020,Meath,638
26/04/2020,Offaly,236
26/04/2020,Roscommon,141
26/04/2020,Sligo,117
26/04/2020,Tipperary,370
26/04/2020,Wexford,162
26/04/2020,Kerry,288
26/04/2020,Waterford,138
26/04/2020,Westmeath,448
26/04/2020,Wicklow,558
26/04/2020,Galway,332
26/04/2020,Limerick,518
26/04/2020,Cork,1126
26/04/2020,Dublin,9624
27/04/2020,Laois,216
27/04/2020,Leitrim,67
27/04/2020,Monaghan,388
27/04/2020,Carlow,95
27/04/2020,Cavan,634
27/04/2020,Clare,232
27/04/2020,Donegal,454
27/04/2020,Kildare,1162
27/04/2020,Kilkenny,236
27/04/2020,Longford,145
27/04/2020,Louth,652
27/04/2020,Mayo,478
27/04/2020,Meath,661
27/04/2020,Offaly,264
27/04/2020,Roscommon,148
27/04/2020,Sligo,116
27/04/2020,Tipperary,389
27/04/2020,Wexford,162
27/04/2020,Kerry,292
27/04/2020,Waterford,137
27/04/2020,Westmeath,461
27/04/2020,Wicklow,564
27/04/2020,Galway,351
27/04/2020,Limerick,532
27/04/2020,Cork,1136
27/04/2020,Dublin,9751
28/04/2020,Laois,218
28/04/2020,Leitrim,68
28/04/2020,Monaghan,393
28/04/2020,Carlow,95
28/04/2020,Cavan,634
28/04/2020,Clare,232
28/04/2020,Donegal,456
28/04/2020,Kildare,1193
28/04/2020,Kilkenny,242
28/04/2020,Longford,146
28/04/2020,Louth,655
28/04/2020,Mayo,483
28/04/2020,Meath,671
28/04/2020,Offaly,282
28/04/2020,Roscommon,150
28/04/2020,Sligo,116
28/04/2020,Tipperary,415
28/04/2020,Wexford,167
28/04/2020,Kerry,292
28/04/2020,Waterford,137
28/04/2020,Westmeath,474
28/04/2020,Wicklow,589
28/04/2020,Galway,355
28/04/2020,Limerick,535
28/04/2020,Cork,1146
28/04/2020,Dublin,9967
29/04/2020,Laois,224
29/04/2020,Leitrim,68
29/04/2020,Monaghan,399
29/04/2020,Carlow,100
29/04/2020,Cavan,644
29/04/2020,Clare,236
29/04/2020,Donegal,458
29/04/2020,Kildare,1215
29/04/2020,Kilkenny,250
29/04/2020,Longford,149
29/04/2020,Louth,659
29/04/2020,Mayo,485
29/04/2020,Meath,681
29/04/2020,Offaly,284
29/04/2020,Roscommon,151
29/04/2020,Sligo,116
29/04/2020,Tipperary,468
29/04/2020,Wexford,179
29/04/2020,Kerry,293
29/04/2020,Waterford,138
29/04/2020,Westmeath,487
29/04/2020,Wicklow,599
29/04/2020,Galway,355
29/04/2020,Limerick,548
29/04/2020,Cork,1154
29/04/2020,Dublin,10170
30/04/2020,Laois,230
30/04/2020,Leitrim,68
30/04/2020,Monaghan,403
30/04/2020,Carlow,100
30/04/2020,Cavan,656
30/04/2020,Clare,237
30/04/2020,Donegal,459
30/04/2020,Kildare,1226
30/04/2020,Kilkenny,254
30/04/2020,Longford,150
30/04/2020,Louth,667
30/04/2020,Mayo,488
30/04/2020,Meath,687
30/04/2020,Offaly,293
30/04/2020,Roscommon,160
30/04/2020,Sligo,118
30/04/2020,Tipperary,473
30/04/2020,Wexford,183
30/04/2020,Kerry,294
30/04/2020,Waterford,138
30/04/2020,Westmeath,500
30/04/2020,Wicklow,604
30/04/2020,Galway,357
30/04/2020,Limerick,564
30/04/2020,Cork,1156
30/04/2020,Dublin,10277
01/05/2020,Laois,234
01/05/2020,Leitrim,67
01/05/2020,Monaghan,409
01/05/2020,Carlow,126
01/05/2020,Cavan,673
01/05/2020,Clare,240
01/05/2020,Donegal,461
01/05/2020,Kildare,1242
01/05/2020,Kilkenny,258
01/05/2020,Longford,153
01/05/2020,Louth,673
01/05/2020,Mayo,494
01/05/2020,Meath,699
01/05/2020,Offaly,305
01/05/2020,Roscommon,174
01/05/2020,Sligo,117
01/05/2020,Tipperary,478
01/05/2020,Wexford,185
01/05/2020,Kerry,295
01/05/2020,Waterford,139
01/05/2020,Westmeath,509
01/05/2020,Wicklow,618
01/05/2020,Galway,365
01/05/2020,Limerick,580
01/05/2020,Cork,1164
01/05/2020,Dublin,10406
02/05/2020,Laois,237
02/05/2020,Leitrim,70
02/05/2020,Monaghan,423
02/05/2020,Carlow,127
02/05/2020,Cavan,682
02/05/2020,Clare,245
02/05/2020,Donegal,465
02/05/2020,Kildare,1268
02/05/2020,Kilkenny,259
02/05/2020,Longford,213
02/05/2020,Louth,679
02/05/2020,Mayo,501
02/05/2020,Meath,713
02/05/2020,Offaly,314
02/05/2020,Roscommon,174
02/05/2020,Sligo,119
02/05/2020,Tipperary,479
02/05/2020,Wexford,185
02/05/2020,Kerry,298
02/05/2020,Waterford,140
02/05/2020,Westmeath,540
02/05/2020,Wicklow,622
02/05/2020,Galway,365
02/05/2020,Limerick,583
02/05/2020,Cork,1175
02/05/2020,Dublin,10561
03/05/2020,Laois,238
03/05/2020,Leitrim,70
03/05/2020,Monaghan,429
03/05/2020,Carlow,127
03/05/2020,Cavan,694
03/05/2020,Clare,249
03/05/2020,Donegal,466
03/05/2020,Kildare,1280
03/05/2020,Kilkenny,258
03/05/2020,Longford,235
03/05/2020,Louth,685
03/05/2020,Mayo,510
03/05/2020,Meath,717
03/05/2020,Offaly,317
03/05/2020,Roscommon,181
03/05/2020,Sligo,120
03/05/2020,Tipperary,486
03/05/2020,Wexford,184
03/05/2020,Kerry,301
03/05/2020,Waterford,139
03/05/2020,Westmeath,547
03/05/2020,Wicklow,625
03/05/2020,Galway,369
03/05/2020,Limerick,585
03/05/2020,Cork,1177
03/05/2020,Dublin,10670
04/05/2020,Laois,240
04/05/2020,Leitrim,70
04/05/2020,Monaghan,432
04/05/2020,Carlow,132
04/05/2020,Cavan,709
04/05/2020,Clare,254
04/05/2020,Donegal,467
04/05/2020,Kildare,1289
04/05/2020,Kilkenny,259
04/05/2020,Longford,257
04/05/2020,Louth,693
04/05/2020,Mayo,512
04/05/2020,Meath,722
04/05/2020,Offaly,339
04/05/2020,Roscommon,212
04/05/2020,Sligo,121
04/05/2020,Tipperary,501
04/05/2020,Wexford,184
04/05/2020,Kerry,302
04/05/2020,Waterford,139
04/05/2020,Westmeath,554
04/05/2020,Wicklow,628
04/05/2020,Galway,375
04/05/2020,Limerick,591
04/05/2020,Cork,1192
04/05/2020,Dublin,10734
05/05/2020,Laois,243
05/05/2020,Leitrim,70
05/05/2020,Monaghan,441
05/05/2020,Carlow,132
05/05/2020,Cavan,710
05/05/2020,Clare,281
05/05/2020,Donegal,469
05/05/2020,Kildare,1302
05/05/2020,Kilkenny,265
05/05/2020,Longford,259
05/05/2020,Louth,699
05/05/2020,Mayo,514
05/05/2020,Meath,723
05/05/2020,Offaly,346
05/05/2020,Roscommon,221
05/05/2020,Sligo,122
05/05/2020,Tipperary,506
05/05/2020,Wexford,190
05/05/2020,Kerry,302
05/05/2020,Waterford,140
05/05/2020,Westmeath,627
05/05/2020,Wicklow,633
05/05/2020,Galway,380
05/05/2020,Limerick,574
05/05/2020,Cork,1197
05/05/2020,Dublin,10840
06/05/2020,Laois,242
06/05/2020,Leitrim,66
06/05/2020,Monaghan,443
06/05/2020,Carlow,133
06/05/2020,Cavan,730
06/05/2020,Clare,299
06/05/2020,Donegal,469
06/05/2020,Kildare,1312
06/05/2020,Kilkenny,265
06/05/2020,Longford,260
06/05/2020,Louth,703
06/05/2020,Mayo,518
06/05/2020,Meath,727
06/05/2020,Offaly,345
06/05/2020,Roscommon,228
06/05/2020,Sligo,116
06/05/2020,Tipperary,512
06/05/2020,Wexford,190
06/05/2020,Kerry,303
06/05/2020,Waterford,140
06/05/2020,Westmeath,633
06/05/2020,Wicklow,636
06/05/2020,Galway,381
06/05/2020,Limerick,566
06/05/2020,Cork,1199
06/05/2020,Dublin,10885
07/05/2020,Laois,247
07/05/2020,Leitrim,66
07/05/2020,Monaghan,447
07/05/2020,Carlow,136
07/05/2020,Cavan,748
07/05/2020,Clare,303
07/05/2020,Donegal,469
07/05/2020,Kildare,1317
07/05/2020,Kilkenny,271
07/05/2020,Longford,264
07/05/2020,Louth,715
07/05/2020,Mayo,522
07/05/2020,Meath,754
07/05/2020,Offaly,349
07/05/2020,Roscommon,234
07/05/2020,Sligo,116
07/05/2020,Tipperary,515
07/05/2020,Wexford,194
07/05/2020,Kerry,303
07/05/2020,Waterford,143
07/05/2020,Westmeath,640
07/05/2020,Wicklow,637
07/05/2020,Galway,382
07/05/2020,Limerick,570
07/05/2020,Cork,1205
07/05/2020,Dublin,10948
08/05/2020,Laois,247
08/05/2020,Leitrim,66
08/05/2020,Monaghan,447
08/05/2020,Carlow,139
08/05/2020,Cavan,752
08/05/2020,Clare,303
08/05/2020,Donegal,469
08/05/2020,Kildare,1324
08/05/2020,Kilkenny,277
08/05/2020,Longford,264
08/05/2020,Louth,721
08/05/2020,Mayo,522
08/05/2020,Meath,758
08/05/2020,Offaly,350
08/05/2020,Roscommon,235
08/05/2020,Sligo,116
08/05/2020,Tipperary,517
08/05/2020,Wexford,199
08/05/2020,Kerry,303
08/05/2020,Waterford,143
08/05/2020,Westmeath,641
08/05/2020,Wicklow,643
08/05/2020,Galway,388
08/05/2020,Limerick,572
08/05/2020,Cork,1207
08/05/2020,Dublin,11068
09/05/2020,Laois,248
09/05/2020,Leitrim,74
09/05/2020,Monaghan,449
09/05/2020,Carlow,141
09/05/2020,Cavan,753
09/05/2020,Clare,305
09/05/2020,Donegal,472
09/05/2020,Kildare,1331
09/05/2020,Kilkenny,280
09/05/2020,Longford,267
09/05/2020,Louth,730
09/05/2020,Mayo,522
09/05/2020,Meath,760
09/05/2020,Offaly,351
09/05/2020,Roscommon,247
09/05/2020,Sligo,123
09/05/2020,Tipperary,523
09/05/2020,Wexford,202
09/05/2020,Kerry,303
09/05/2020,Waterford,143
09/05/2020,Westmeath,643
09/05/2020,Wicklow,646
09/05/2020,Galway,392
09/05/2020,Limerick,582
09/05/2020,Cork,1232
09/05/2020,Dublin,11175
10/05/2020,Laois,249
10/05/2020,Leitrim,74
10/05/2020,Monaghan,454
10/05/2020,Carlow,141
10/05/2020,Cavan,757
10/05/2020,Clare,306
10/05/2020,Donegal,474
10/05/2020,Kildare,1337
10/05/2020,Kilkenny,284
10/05/2020,Longford,269
10/05/2020,Louth,733
10/05/2020,Mayo,537
10/05/2020,Meath,769
10/05/2020,Offaly,358
10/05/2020,Roscommon,297
10/05/2020,Sligo,127
10/05/2020,Tipperary,524
10/05/2020,Wexford,202
10/05/2020,Kerry,305
10/05/2020,Waterford,143
10/05/2020,Westmeath,643
10/05/2020,Wicklow,649
10/05/2020,Galway,400
10/05/2020,Limerick,588
10/05/2020,Cork,1234
10/05/2020,Dublin,11235
11/05/2020,Laois,249
11/05/2020,Leitrim,75
11/05/2020,Monaghan,458
11/05/2020,Carlow,143
11/05/2020,Cavan,765
11/05/2020,Clare,308
11/05/2020,Donegal,472
11/05/2020,Kildare,1344
11/05/2020,Kilkenny,291
11/05/2020,Longford,270
11/05/2020,Louth,735
11/05/2020,Mayo,538
11/05/2020,Meath,769
11/05/2020,Offaly,360
11/05/2020,Roscommon,298
11/05/2020,Sligo,128
11/05/2020,Tipperary,524
11/05/2020,Wexford,206
11/05/2020,Kerry,305
11/05/2020,Waterford,144
11/05/2020,Westmeath,645
11/05/2020,Wicklow,647
11/05/2020,Galway,402
11/05/2020,Limerick,588
11/05/2020,Cork,1238
11/05/2020,Dublin,11242
12/05/2020,Laois,249
12/05/2020,Leitrim,77
12/05/2020,Monaghan,464
12/05/2020,Carlow,143
12/05/2020,Cavan,767
12/05/2020,Clare,308
12/05/2020,Donegal,473
12/05/2020,Kildare,1348
12/05/2020,Kilkenny,292
12/05/2020,Longford,272
12/05/2020,Louth,734
12/05/2020,Mayo,541
12/05/2020,Meath,770
12/05/2020,Offaly,362
12/05/2020,Roscommon,298
12/05/2020,Sligo,128
12/05/2020,Tipperary,524
12/05/2020,Wexford,208
12/05/2020,Kerry,305
12/05/2020,Waterford,144
12/05/2020,Westmeath,648
12/05/2020,Wicklow,651
12/05/2020,Galway,405
12/05/2020,Limerick,591
12/05/2020,Cork,1249
12/05/2020,Dublin,11308
13/05/2020,Laois,251
13/05/2020,Leitrim,77
13/05/2020,Monaghan,467
13/05/2020,Carlow,144
13/05/2020,Cavan,774
13/05/2020,Clare,312
13/05/2020,Donegal,473
13/05/2020,Kildare,1352
13/05/2020,Kilkenny,293
13/05/2020,Longford,273
13/05/2020,Louth,740
13/05/2020,Mayo,542
13/05/2020,Meath,773
13/05/2020,Offaly,435
13/05/2020,Roscommon,299
13/05/2020,Sligo,128
13/05/2020,Tipperary,516
13/05/2020,Wexford,208
13/05/2020,Kerry,306
13/05/2020,Waterford,144
13/05/2020,Westmeath,652
13/05/2020,Wicklow,652
13/05/2020,Galway,408
13/05/2020,Limerick,595
13/05/2020,Cork,1256
13/05/2020,Dublin,11557
14/05/2020,Laois,251
14/05/2020,Leitrim,79
14/05/2020,Monaghan,468
14/05/2020,Carlow,144
14/05/2020,Cavan,776
14/05/2020,Clare,314
14/05/2020,Donegal,474
14/05/2020,Kildare,1357
14/05/2020,Kilkenny,295
14/05/2020,Longford,273
14/05/2020,Louth,741
14/05/2020,Mayo,542
14/05/2020,Meath,776
14/05/2020,Offaly,455
14/05/2020,Roscommon,300
14/05/2020,Sligo,129
14/05/2020,Tipperary,521
14/05/2020,Wexford,211
14/05/2020,Kerry,307
14/05/2020,Waterford,144
14/05/2020,Westmeath,654
14/05/2020,Wicklow,657
14/05/2020,Galway,412
14/05/2020,Limerick,596
14/05/2020,Cork,1346
14/05/2020,Dublin,11657
15/05/2020,Laois,253
15/05/2020,Leitrim,79
15/05/2020,Monaghan,480
15/05/2020,Carlow,146
15/05/2020,Cavan,781
15/05/2020,Clare,314
15/05/2020,Donegal,475
15/05/2020,Kildare,1361
15/05/2020,Kilkenny,298
15/05/2020,Longford,277
15/05/2020,Louth,739
15/05/2020,Mayo,547
15/05/2020,Meath,778
15/05/2020,Offaly,459
15/05/2020,Roscommon,301
15/05/2020,Sligo,129
15/05/2020,Tipperary,523
15/05/2020,Wexford,212
15/05/2020,Kerry,307
15/05/2020,Waterford,146
15/05/2020,Westmeath,655
15/05/2020,Wicklow,656
15/05/2020,Galway,418
15/05/2020,Limerick,601
15/05/2020,Cork,1352
15/05/2020,Dublin,11666
16/05/2020,Laois,253
16/05/2020,Leitrim,79
16/05/2020,Monaghan,480
16/05/2020,Carlow,147
16/05/2020,Cavan,788
16/05/2020,Clare,315
16/05/2020,Donegal,475
16/05/2020,Kildare,1367
16/05/2020,Kilkenny,300
16/05/2020,Longford,279
16/05/2020,Louth,740
16/05/2020,Mayo,552
16/05/2020,Meath,780
16/05/2020,Offaly,459
16/05/2020,Roscommon,304
16/05/2020,Sligo,129
16/05/2020,Tipperary,524
16/05/2020,Wexford,212
16/05/2020,Kerry,307
16/05/2020,Waterford,147
16/05/2020,Westmeath,654
16/05/2020,Wicklow,657
16/05/2020,Galway,432
16/05/2020,Limerick,602
16/05/2020,Cork,1361
16/05/2020,Dublin,11693
17/05/2020,Laois,254
17/05/2020,Leitrim,80
17/05/2020,Monaghan,485
17/05/2020,Carlow,148
17/05/2020,Cavan,800
17/05/2020,Clare,315
17/05/2020,Donegal,477
17/05/2020,Kildare,1379
17/05/2020,Kilkenny,302
17/05/2020,Longford,279
17/05/2020,Louth,743
17/05/2020,Mayo,556
17/05/2020,Meath,782
17/05/2020,Offaly,461
17/05/2020,Roscommon,307
17/05/2020,Sligo,129
17/05/2020,Tipperary,525
17/05/2020,Wexford,212
17/05/2020,Kerry,308
17/05/2020,Waterford,147
17/05/2020,Westmeath,656
17/05/2020,Wicklow,659
17/05/2020,Galway,438
17/05/2020,Limerick,603
17/05/2020,Cork,1372
17/05/2020,Dublin,11759
18/05/2020,Laois,254
18/05/2020,Leitrim,82
18/05/2020,Monaghan,485
18/05/2020,Carlow,149
18/05/2020,Cavan,802
18/05/2020,Clare,315
18/05/2020,Donegal,477
18/05/2020,Kildare,1379
18/05/2020,Kilkenny,307
18/05/2020,Longford,279
18/05/2020,Louth,745
18/05/2020,Mayo,558
18/05/2020,Meath,787
18/05/2020,Offaly,468
18/05/2020,Roscommon,308
18/05/2020,Sligo,129
18/05/2020,Tipperary,528
18/05/2020,Wexford,217
18/05/2020,Kerry,308
18/05/2020,Waterford,148
18/05/2020,Westmeath,656
18/05/2020,Wicklow,657
18/05/2020,Galway,445
18/05/2020,Limerick,610
18/05/2020,Cork,1376
18/05/2020,Dublin,11733
19/05/2020,Laois,256
19/05/2020,Leitrim,82
19/05/2020,Monaghan,488
19/05/2020,Carlow,150
19/05/2020,Cavan,804
19/05/2020,Clare,315
19/05/2020,Donegal,479
19/05/2020,Kildare,1381
19/05/2020,Kilkenny,307
19/05/2020,Longford,280
19/05/2020,Louth,748
19/05/2020,Mayo,560
19/05/2020,Meath,788
19/05/2020,Offaly,472
19/05/2020,Roscommon,310
19/05/2020,Sligo,129
19/05/2020,Tipperary,529
19/05/2020,Wexford,217
19/05/2020,Kerry,308
19/05/2020,Waterford,148
19/05/2020,Westmeath,658
19/05/2020,Wicklow,657
19/05/2020,Galway,445
19/05/2020,Limerick,612
19/05/2020,Cork,1386
19/05/2020,Dublin,11765
20/05/2020,Laois,256
20/05/2020,Leitrim,82
20/05/2020,Monaghan,489
20/05/2020,Carlow,151
20/05/2020,Cavan,804
20/05/2020,Clare,319
20/05/2020,Donegal,478
20/05/2020,Kildare,1383
20/05/2020,Kilkenny,316
20/05/2020,Longford,280
20/05/2020,Louth,751
20/05/2020,Mayo,560
20/05/2020,Meath,790
20/05/2020,Offaly,473
20/05/2020,Roscommon,312
20/05/2020,Sligo,129
20/05/2020,Tipperary,529
20/05/2020,Wexford,217
20/05/2020,Kerry,308
20/05/2020,Waterford,148
20/05/2020,Westmeath,661
20/05/2020,Wicklow,657
20/05/2020,Galway,451
20/05/2020,Limerick,615
20/05/2020,Cork,1398
20/05/2020,Dublin,11794
21/05/2020,Laois,256
21/05/2020,Leitrim,82
21/05/2020,Monaghan,489
21/05/2020,Carlow,151
21/05/2020,Cavan,815
21/05/2020,Clare,319
21/05/2020,Donegal,478
21/05/2020,Kildare,1387
21/05/2020,Kilkenny,319
21/05/2020,Longford,280
21/05/2020,Louth,756
21/05/2020,Mayo,564
21/05/2020,Meath,795
21/05/2020,Offaly,475
21/05/2020,Roscommon,314
21/05/2020,Sligo,129
21/05/2020,Tipperary,528
21/05/2020,Wexford,217
21/05/2020,Kerry,308
21/05/2020,Waterford,149
21/05/2020,Westmeath,661
21/05/2020,Wicklow,659
21/05/2020,Galway,455
21/05/2020,Limerick,615
21/05/2020,Cork,1420
21/05/2020,Dublin,11830
22/05/2020,Laois,256
22/05/2020,Leitrim,82
22/05/2020,Monaghan,501
22/05/2020,Carlow,152
22/05/2020,Cavan,824
22/05/2020,Clare,321
22/05/2020,Donegal,478
22/05/2020,Kildare,1392
22/05/2020,Kilkenny,334
22/05/2020,Longford,280
22/05/2020,Louth,756
22/05/2020,Mayo,568
22/05/2020,Meath,797
22/05/2020,Offaly,478
22/05/2020,Roscommon,318
22/05/2020,Sligo,129
22/05/2020,Tipperary,528
22/05/2020,Wexford,217
22/05/2020,Kerry,308
22/05/2020,Waterford,151
22/05/2020,Westmeath,663
22/05/2020,Wicklow,661
22/05/2020,Galway,458
22/05/2020,Limerick,616
22/05/2020,Cork,1428
22/05/2020,Dublin,11873
23/05/2020,Laois,256
23/05/2020,Leitrim,82
23/05/2020,Monaghan,501
23/05/2020,Carlow,152
23/05/2020,Cavan,825
23/05/2020,Clare,322
23/05/2020,Donegal,478
23/05/2020,Kildare,1390
23/05/2020,Kilkenny,334
23/05/2020,Longford,281
23/05/2020,Louth,759
23/05/2020,Mayo,568
23/05/2020,Meath,797
23/05/2020,Offaly,478
23/05/2020,Roscommon,319
23/05/2020,Sligo,129
23/05/2020,Tipperary,528
23/05/2020,Wexford,217
23/05/2020,Kerry,308
23/05/2020,Waterford,151
23/05/2020,Westmeath,663
23/05/2020,Wicklow,661
23/05/2020,Galway,461
23/05/2020,Limerick,619
23/05/2020,Cork,1438
23/05/2020,Dublin,11876
24/05/2020,Laois,257
24/05/2020,Leitrim,82
24/05/2020,Monaghan,503
24/05/2020,Carlow,152
24/05/2020,Cavan,827
24/05/2020,Clare,322
24/05/2020,Donegal,478
24/05/2020,Kildare,1395
24/05/2020,Kilkenny,334
24/05/2020,Longford,281
24/05/2020,Louth,759
24/05/2020,Mayo,568
24/05/2020,Meath,797
24/05/2020,Offaly,479
24/05/2020,Roscommon,319
24/05/2020,Sligo,129
24/05/2020,Tipperary,528
24/05/2020,Wexford,217
24/05/2020,Kerry,308
24/05/2020,Waterford,151
24/05/2020,Westmeath,663
24/05/2020,Wicklow,663
24/05/2020,Galway,461
24/05/2020,Limerick,622
24/05/2020,Cork,1440
24/05/2020,Dublin,11894
25/05/2020,Laois,258
25/05/2020,Leitrim,82
25/05/2020,Monaghan,503
25/05/2020,Carlow,152
25/05/2020,Cavan,829
25/05/2020,Clare,322
25/05/2020,Donegal,478
25/05/2020,Kildare,1408
25/05/2020,Kilkenny,336
25/05/2020,Longford,281
25/05/2020,Louth,759
25/05/2020,Mayo,568
25/05/2020,Meath,797
25/05/2020,Offaly,479
25/05/2020,Roscommon,319
25/05/2020,Sligo,129
25/05/2020,Tipperary,528
25/05/2020,Wexford,216
25/05/2020,Kerry,308
25/05/2020,Waterford,151
25/05/2020,Westmeath,664
25/05/2020,Wicklow,663
25/05/2020,Galway,464
25/05/2020,Limerick,624
25/05/2020,Cork,1451
25/05/2020,Dublin,11961
26/05/2020,Laois,258
26/05/2020,Leitrim,83
26/05/2020,Monaghan,504
26/05/2020,Carlow,154
26/05/2020,Cavan,833
26/05/2020,Clare,322
26/05/2020,Donegal,477
26/05/2020,Kildare,1414
26/05/2020,Kilkenny,337
26/05/2020,Longford,281
26/05/2020,Louth,759
26/05/2020,Mayo,569
26/05/2020,Meath,793
26/05/2020,Offaly,478
26/05/2020,Roscommon,320
26/05/2020,Sligo,129
26/05/2020,Tipperary,528
26/05/2020,Wexford,216
26/05/2020,Kerry,308
26/05/2020,Waterford,151
26/05/2020,Westmeath,665
26/05/2020,Wicklow,663
26/05/2020,Galway,473
26/05/2020,Limerick,626
26/05/2020,Cork,1458
26/05/2020,Dublin,11996
27/05/2020,Laois,258
27/05/2020,Leitrim,83
27/05/2020,Monaghan,504
27/05/2020,Carlow,155
27/05/2020,Cavan,833
27/05/2020,Clare,322
27/05/2020,Donegal,477
27/05/2020,Kildare,1416
27/05/2020,Kilkenny,337
27/05/2020,Longford,280
27/05/2020,Louth,759
27/05/2020,Mayo,569
27/05/2020,Meath,793
27/05/2020,Offaly,478
27/05/2020,Roscommon,320
27/05/2020,Sligo,129
27/05/2020,Tipperary,528
27/05/2020,Wexford,216
27/05/2020,Kerry,308
27/05/2020,Waterford,152
27/05/2020,Westmeath,667
27/05/2020,Wicklow,663
27/05/2020,Galway,476
27/05/2020,Limerick,627
27/05/2020,Cork,1464
27/05/2020,Dublin,12023
28/05/2020,Laois,258
28/05/2020,Leitrim,83
28/05/2020,Monaghan,507
28/05/2020,Carlow,158
28/05/2020,Cavan,833
28/05/2020,Clare,323
28/05/2020,Donegal,477
28/05/2020,Kildare,1416
28/05/2020,Kilkenny,337
28/05/2020,Longford,281
28/05/2020,Louth,763
28/05/2020,Mayo,571
28/05/2020,Meath,795
28/05/2020,Offaly,478
28/05/2020,Roscommon,321
28/05/2020,Sligo,129
28/05/2020,Tipperary,527
28/05/2020,Wexford,216
28/05/2020,Kerry,308
28/05/2020,Waterford,152
28/05/2020,Westmeath,667
28/05/2020,Wicklow,663
28/05/2020,Galway,476
28/05/2020,Limerick,628
28/05/2020,Cork,1472
28/05/2020,Dublin,12031
29/05/2020,Laois,259
29/05/2020,Leitrim,83
29/05/2020,Monaghan,509
29/05/2020,Carlow,166
29/05/2020,Cavan,834
29/05/2020,Clare,323
29/05/2020,Donegal,477
29/05/2020,Kildare,1416
29/05/2020,Kilkenny,338
29/05/2020,Longford,283
29/05/2020,Louth,766
29/05/2020,Mayo,571
29/05/2020,Meath,797
29/05/2020,Offaly,478
29/05/2020,Roscommon,333
29/05/2020,Sligo,129
29/05/2020,Tipperary,529
29/05/2020,Wexford,216
29/05/2020,Kerry,308
29/05/2020,Waterford,152
29/05/2020,Westmeath,668
29/05/2020,Wicklow,663
29/05/2020,Galway,478
29/05/2020,Limerick,629
29/05/2020,Cork,1477
29/05/2020,Dublin,12042
30/05/2020,Laois,259
30/05/2020,Leitrim,83
30/05/2020,Monaghan,509
30/05/2020,Carlow,166
30/05/2020,Cavan,839
30/05/2020,Clare,360
30/05/2020,Donegal,477
