date,county,ncase
23/03/2020,Laois,9
23/03/2020,Leitrim,< = 5
23/03/2020,Monaghan,< = 5
23/03/2020,Carlow,< = 5
23/03/2020,Cavan,< = 5
23/03/2020,Clare,12
23/03/2020,Donegal,11
23/03/2020,Kildare,34
23/03/2020,Kilkenny,16
23/03/2020,Longford,< = 5
23/03/2020,Louth,18
23/03/2020,Mayo,9
23/03/2020,Meath,24
23/03/2020,Offaly,13
23/03/2020,Roscommon,< = 5
23/03/2020,Sligo,8
23/03/2020,Tipperary,20
23/03/2020,Wexford,7
23/03/2020,Kerry,33
23/03/2020,Waterford,15
23/03/2020,Westmeath,25
23/03/2020,Wicklow,39
23/03/2020,Galway,40
23/03/2020,Limerick,19
23/03/2020,Cork,133
23/03/2020,Dublin,659
24/03/2020,Laois,9
24/03/2020,Leitrim,< = 5
24/03/2020,Monaghan,< = 5
24/03/2020,Carlow,< = 5
24/03/2020,Cavan,6
24/03/2020,Clare,25
24/03/2020,Donegal,12
24/03/2020,Kildare,39
24/03/2020,Kilkenny,19
24/03/2020,Longford,< = 5
24/03/2020,Louth,20
24/03/2020,Mayo,14
24/03/2020,Meath,27
24/03/2020,Offaly,16
24/03/2020,Roscommon,< = 5
24/03/2020,Sligo,8
24/03/2020,Tipperary,27
24/03/2020,Wexford,8
24/03/2020,Kerry,38
24/03/2020,Waterford,22
24/03/2020,Westmeath,29
24/03/2020,Wicklow,49
24/03/2020,Galway,45
24/03/2020,Limerick,24
24/03/2020,Cork,154
24/03/2020,Dublin,774
25/03/2020,Laois,10
25/03/2020,Leitrim,< = 5
25/03/2020,Monaghan,< = 5
25/03/2020,Carlow,< = 5
25/03/2020,Cavan,9
25/03/2020,Clare,26
25/03/2020,Donegal,15
25/03/2020,Kildare,45
25/03/2020,Kilkenny,20
25/03/2020,Longford,< = 5
25/03/2020,Louth,24
25/03/2020,Mayo,18
25/03/2020,Meath,33
25/03/2020,Offaly,19
25/03/2020,Roscommon,7
25/03/2020,Sligo,8
25/03/2020,Tipperary,34
25/03/2020,Wexford,9
25/03/2020,Kerry,44
25/03/2020,Waterford,25
25/03/2020,Westmeath,39
25/03/2020,Wicklow,52
25/03/2020,Galway,57
25/03/2020,Limerick,36
25/03/2020,Cork,171
25/03/2020,Dublin,922
26/03/2020,Laois,11
26/03/2020,Leitrim,< = 5
26/03/2020,Monaghan,8
26/03/2020,Carlow,< = 5
26/03/2020,Cavan,11
26/03/2020,Clare,31
26/03/2020,Donegal,15
26/03/2020,Kildare,56
26/03/2020,Kilkenny,29
26/03/2020,Longford,< = 5
26/03/2020,Louth,27
26/03/2020,Mayo,21
26/03/2020,Meath,41
26/03/2020,Offaly,22
26/03/2020,Roscommon,8
26/03/2020,Sligo,8
26/03/2020,Tipperary,44
26/03/2020,Wexford,10
26/03/2020,Kerry,47
26/03/2020,Waterford,29
26/03/2020,Westmeath,52
26/03/2020,Wicklow,58
26/03/2020,Galway,63
26/03/2020,Limerick,46
26/03/2020,Cork,184
26/03/2020,Dublin,1070
27/03/2020,Laois,14
27/03/2020,Leitrim,< = 5
27/03/2020,Monaghan,11
27/03/2020,Carlow,< = 5
27/03/2020,Cavan,19
27/03/2020,Clare,34
27/03/2020,Donegal,24
27/03/2020,Kildare,61
27/03/2020,Kilkenny,33
27/03/2020,Longford,10
27/03/2020,Louth,34
27/03/2020,Mayo,26
27/03/2020,Meath,46
27/03/2020,Offaly,29
27/03/2020,Roscommon,10
27/03/2020,Sligo,12
27/03/2020,Tipperary,53
27/03/2020,Wexford,12
27/03/2020,Kerry,53
27/03/2020,Waterford,31
27/03/2020,Westmeath,67
27/03/2020,Wicklow,65
27/03/2020,Galway,68
27/03/2020,Limerick,55
27/03/2020,Cork,208
27/03/2020,Dublin,1233
28/03/2020,Laois,14
28/03/2020,Leitrim,6
28/03/2020,Monaghan,12
28/03/2020,Carlow,< = 5
28/03/2020,Cavan,24
28/03/2020,Clare,34
28/03/2020,Donegal,36
28/03/2020,Kildare,64
28/03/2020,Kilkenny,36
28/03/2020,Longford,10
28/03/2020,Louth,39
28/03/2020,Mayo,28
28/03/2020,Meath,47
28/03/2020,Offaly,34
28/03/2020,Roscommon,10
28/03/2020,Sligo,19
28/03/2020,Tipperary,62
28/03/2020,Wexford,12
28/03/2020,Kerry,60
28/03/2020,Waterford,34
28/03/2020,Westmeath,70
28/03/2020,Wicklow,69
28/03/2020,Galway,77
28/03/2020,Limerick,64
28/03/2020,Cork,217
28/03/2020,Dublin,1393
29/03/2020,Laois,15
29/03/2020,Leitrim,6
29/03/2020,Monaghan,13
29/03/2020,Carlow,< = 5
29/03/2020,Cavan,24
29/03/2020,Clare,40
29/03/2020,Donegal,46
29/03/2020,Kildare,66
29/03/2020,Kilkenny,36
29/03/2020,Longford,10
29/03/2020,Louth,44
29/03/2020,Mayo,36
29/03/2020,Meath,54
29/03/2020,Offaly,34
29/03/2020,Roscommon,10
29/03/2020,Sligo,19
29/03/2020,Tipperary,71
29/03/2020,Wexford,15
29/03/2020,Kerry,66
29/03/2020,Waterford,33
29/03/2020,Westmeath,77
29/03/2020,Wicklow,73
29/03/2020,Galway,86
29/03/2020,Limerick,67
29/03/2020,Cork,238
29/03/2020,Dublin,1487
30/03/2020,Laois,16
30/03/2020,Leitrim,10
30/03/2020,Monaghan,13
30/03/2020,Carlow,< = 5
30/03/2020,Cavan,36
30/03/2020,Clare,45
30/03/2020,Donegal,63
30/03/2020,Kildare,80
30/03/2020,Kilkenny,37
30/03/2020,Longford,12
30/03/2020,Louth,51
30/03/2020,Mayo,48
30/03/2020,Meath,66
30/03/2020,Offaly,40
30/03/2020,Roscommon,10
30/03/2020,Sligo,22
30/03/2020,Tipperary,85
